Sale Order Item Code,Display Order Code,Store,Date,Reverse Pickup Code,Reverse Pickup Created Date,Reverse Pickup Reason,Invoice Code,Invoice Created,Item SKU Code,Channel Product Id,Product,Item Type Color,Item Type Size,Item Type Brand,Channel Name,SKU Require Customization,Gift Wrap,Gift Message,HSN Code,MRP,Total Price,Amount,Quantity Ordered,Cost Price,Prepaid Amount,Subtotal,Discount,GST Tax Type Code,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,TCS Amount,Tax %,Tax Value,Voucher Code,Shipping Charges,Shipping Method Charges,COD Service Charges,Gift Wrap Charges,Packet Number,Sale Order Code,On Hold,Sale Order Status,Priority,Currency,Currency Conversion Rate,Sale Order Item Status,Cancellation Reason,Shipping provider,Shipping Courier,Shipping Arranged By,Shipping Package Code,Shipping Package Creation Date,Shipping Package Status Code,Shipping Package Type,Length(mm),Width(mm),Height(mm),Delivery Time,Tracking Number,Dispatch Date,Facility,Return Date,Return Reason,Return Remarks,Created,Updated,Combination Identifier,Combination Description,Transfer Price,Item Code,IMEI,Weight,GSTIN,Customer GSTIN,TIN,Payment Instrument,Fulfillment TAT,Adjustment In Selling Price,Adjustment In Discount,Store Credit,IRN,Acknowledgement Number,Bundle SKU Code Number,SKU Name,Batch Code,Vendor Batch Number,Seller SKU Code,Item Type EAN,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Parent Sale Order Code,Item Tag,Shipment Tag,Original Order ID,Payment Method,Store Code,Channel Shipping,Item Details
434635-0,S2000065224,schools365,01-08-2025 14:56,,,,INS/25-26/11337,01-08-2025 17:30,SDSTS002-32,SDSTS002-32,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 32,Light Blue,32,GOL,schools365,FALSE,FALSE,,61091000,999,537.1,490,1,,0,466.67,0,gst-5,0,25.57,0,0,0,0,5,0,0,0,0.00E+00,,,,47.1,0,0,0,1,SC-S2000065224,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610954,01-08-2025 15:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041427,01-08-2025 18:13,Bangalore,,,,01-08-2025 15:00,01-08-2025 18:13,,,,,,503,29AAHCP5883A1Z7,,29141195654,,06-08-2025 15:00,0,0,0,,,,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 32,,,SDSTS002-32,,,,,,,,,cashfree,,FALSE,
434637-0,S2000065225,schools365,01-08-2025 16:11,,,,INS/25-26/11336,01-08-2025 17:30,SSAB001-4,SSAB001-4,ADIDAS KIDS Element Shoes - 11K - Black,Black,11K,ADIDAS,schools365,FALSE,FALSE,,64041990,3299,2360,2210,1,,0,1872.88,0,Range-5-18,180,0,180,0,0,9,0,9,0,0,0.00E+00,,,,150,0,0,0,1,SC-S2000065225,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610956,01-08-2025 16:22,DISPATCHED,DEFAULT,1,1,1,,HRD900041426,01-08-2025 18:13,Bangalore,,,,01-08-2025 16:20,01-08-2025 18:13,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 16:20,0,0,0,,,,ADIDAS KIDS Element Shoes - 11K - Black,,,SSAB001-4,,,,,,,,,cashfree,,FALSE,
434452-0,S2000065166,schools365,30-07-2025 12:43,,,,INS/25-26/11335,01-08-2025 17:30,APCLGNB01-8C,APCLGNB01-8C,Action Plus Navy Blue Clogs - 8C,Navy Blue & Green,8C UK,Action Plus,schools365,FALSE,FALSE,,64029990,349,479,330,1,,0,294.64,0,gst-5,0,51.32,0,0,0,0,12,0,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065166,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610957,01-08-2025 16:32,DISPATCHED,DEFAULT,1,1,1,,HRD900041425,05-08-2025 11:17,Bangalore,,,,01-08-2025 16:30,05-08-2025 11:17,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 16:30,0,0,0,,,,Action Plus Navy Blue Clogs - 8C,,,APCLGNB01-8C,,,,,,,,,cashfree,,FALSE,
435090458002554101-1,OD435090458002554100,FLIPKART 25,01-08-2025 17:24,,,,FAABJ92600000004,01-08-2025 17:32,RBKPW001-12C-3P,LSTKSSHDBMHGVEYAG7SHTYS3Q,Reebok Prodigy White School Shoes 3P - 12C,White,12C,Reebok,FLIPKART 25,FALSE,FALSE,,64041990,2699,2243,2243,1,,0,1900.85,0,Range-5-18,0,342.15,0,0,0,0,18,0,0,0,0.00E+00,,,,0,0,0,0,1,`435090458002554101,FALSE,COMPLETE,0,INR,1,DELIVERED,,E-Kart Logistics,,Channel,SPOR2610959,01-08-2025 17:30,DELIVERED,DEFAULT,1,1,1,03-08-2025 02:24,FMPP3227072534,02-08-2025 16:40,Bangalore,,,,01-08-2025 17:30,06-08-2025 12:13,,,,,,501,29AAHCP5883A1Z7,,29141195654,,05-08-2025 12:00,0,0,0,,,,Reebok Prodigy White School Shoes 3P - 12C,,,RBKPW001-12C-3P,,DELIVERED,STATUS_NOT_DEFINED,,,,,,,,TRUE,
434639-0,S2000065226,schools365,01-08-2025 18:51,,,,INS/25-26/11339,02-08-2025 11:12,SSGOL008-1,SSGOL008-1,GOL Sri Kumaran Grey Melange Semi Crew Socks - (Pack Of 1) - Size : S,Grey,S,GOL,schools365,FALSE,FALSE,,61159500,149,223.5,149,1,43,0,141.9,0,gst-5,5.325,0,5.325,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065226,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610960,01-08-2025 19:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041429,02-08-2025 17:19,Bangalore,,,,01-08-2025 19:00,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 19:00,0,0,0,,,,GOL Sri Kumaran Grey Melange Semi Crew Socks - (Pack Of 1) - Size : S,,,SSGOL008-1,,,,,,,,,cashfree,,FALSE,
434639-1,S2000065226,schools365,01-08-2025 18:51,,,,INS/25-26/11339,02-08-2025 11:12,SSGOL008-1,SSGOL008-1,GOL Sri Kumaran Grey Melange Semi Crew Socks - (Pack Of 1) - Size : S,Grey,S,GOL,schools365,FALSE,FALSE,,61159500,149,223.5,149,1,43,0,141.9,0,gst-5,5.325,0,5.325,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065226,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610960,01-08-2025 19:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041429,02-08-2025 17:19,Bangalore,,,,01-08-2025 19:00,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 19:00,0,0,0,,,,GOL Sri Kumaran Grey Melange Semi Crew Socks - (Pack Of 1) - Size : S,,,SSGOL008-1,,,,,,,,,cashfree,,FALSE,
434641-0,S2000065227,schools365,01-08-2025 19:30,,,,INS/25-26/11340,02-08-2025 11:12,GOLSOCKS02-4,GOLSOCKS02-4,GOL Legacy School Socks - Pack of 3(Size=XL),,XL,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.95,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065227,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610961,01-08-2025 19:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041430,02-08-2025 17:19,Bangalore,,,,01-08-2025 19:40,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 19:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=XL),,,GOLSOCKS02-4,,,,,,,,,cashfree,,FALSE,
434641-1,S2000065227,schools365,01-08-2025 19:30,,,,INS/25-26/11340,02-08-2025 11:12,GOLSOCKS02-4,GOLSOCKS02-4,GOL Legacy School Socks - Pack of 3(Size=XL),,XL,GOL,schools365,FALSE,FALSE,,61159500,449,474.5,400,1,,0,380.95,0,gst-5,11.3,0,11.3,0,0,2.5,0,2.5,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065227,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610961,01-08-2025 19:42,DISPATCHED,DEFAULT,0,0,0,,HRD900041430,02-08-2025 17:19,Bangalore,,,,01-08-2025 19:40,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 19:40,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=XL),,,GOLSOCKS02-4,,,,,,,,,cashfree,,FALSE,
434643-0,S2000065228,schools365,01-08-2025 20:04,,,,INS/25-26/11341,02-08-2025 11:13,RBKPB002-7,RBKPB002-7,Reebok Prodigy Black School Shoes - 7US,Black,7US,Reebok,schools365,FALSE,FALSE,,64041990,2999,2308,2159,1,,0,1829.66,0,Range-5-18,176.03,0,176.03,0,0,9,0,9,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065228,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610962,01-08-2025 20:10,DISPATCHED,DEFAULT,1,1,1,,HRD900041431,02-08-2025 17:19,Bangalore,,,,01-08-2025 20:10,02-08-2025 17:19,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 20:10,0,0,0,,,,Reebok Prodigy Black School Shoes - 7US,,,RBKPB002-7,,,,,,,,,cashfree,,FALSE,
434645-0,S2000065229,schools365,01-08-2025 20:05,,,,INS/25-26/11342,02-08-2025 11:13,GOLSOCKS02-3,GOLSOCKS02-3,GOL Legacy School Socks - Pack of 3(Size=L),,L,GOL,schools365,FALSE,FALSE,,61159500,449,549,400,1,,0,380.96,0,gst-5,13.07,0,13.07,0,0,2.5,0,2.5,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065229,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610963,01-08-2025 20:10,DISPATCHED,DEFAULT,1,1,1,,HRD900041432,02-08-2025 17:19,Bangalore,,,,01-08-2025 20:10,02-08-2025 17:19,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 20:10,0,0,0,,,,GOL Legacy School Socks - Pack of 3(Size=L),,,GOLSOCKS02-3,,,,,,,,,cashfree,,FALSE,
434647-0,S2000065230,schools365,01-08-2025 20:49,,,,INS/25-26/11343,02-08-2025 11:13,SDSTPNB08-42,SDSTPNB08-42,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 42,Navy Blue,42,GOL,schools365,FALSE,FALSE,,61034200,999,1073.5,999,1,,0,951.43,0,gst-5,0,51.12,0,0,0,0,5,0,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065230,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610964,01-08-2025 21:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041433,02-08-2025 17:19,Bangalore,,,,01-08-2025 21:00,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 21:00,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 42,,,SDSTPNB08-42,,,,,,,,,cashfree,,FALSE,
434649-0,S2000065230,schools365,01-08-2025 20:49,,,,INS/25-26/11343,02-08-2025 11:13,SDSTS004-40,SDSTS004-40,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 40,Light Blue,40,GOL,schools365,FALSE,FALSE,,61091000,999,1073.5,999,1,,0,951.43,0,gst-5,0,51.12,0,0,0,0,5,0,0,0,0.00E+00,,,,74.5,0,0,0,1,SC-S2000065230,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610964,01-08-2025 21:02,DISPATCHED,DEFAULT,0,0,0,,HRD900041433,02-08-2025 17:19,Bangalore,,,,01-08-2025 21:00,02-08-2025 17:19,,,,,,502,29AAHCP5883A1Z7,,29141195654,,06-08-2025 21:00,0,0,0,,,,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 40,,,SDSTS004-40,,,,,,,,,cashfree,,FALSE,
434651-0,S2000065231,schools365,01-08-2025 21:19,,,,INS/25-26/11344,02-08-2025 11:13,SDSTPNB07-38,SDSTPNB07-38,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 38,Navy Blue,38,GOL,schools365,FALSE,FALSE,,61034200,999,679,530,1,,0,504.76,0,gst-5,0,32.34,0,0,0,0,5,0,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065231,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610965,01-08-2025 21:22,DISPATCHED,DEFAULT,1,1,1,,HRD900041434,02-08-2025 17:19,Bangalore,,,,01-08-2025 21:20,02-08-2025 17:19,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 21:20,0,0,0,,,,GOL Springdays Sports Unisex Trackpant - Navy Blue - Size : 38,,,SDSTPNB07-38,,,,,,,,,cashfree,,FALSE,
434653-0,S2000065232,schools365,01-08-2025 21:21,,,,INS/25-26/11345,02-08-2025 11:14,SDSTS003-38,SDSTS003-38,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 38,Light Blue,38,GOL,schools365,FALSE,FALSE,,61091000,999,669,520,1,,0,495.24,0,gst-5,0,31.86,0,0,0,0,5,0,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065232,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610966,01-08-2025 21:32,DISPATCHED,DEFAULT,1,1,1,,HRD900041435,02-08-2025 17:19,Bangalore,,,,01-08-2025 21:30,02-08-2025 17:19,,,,,,501,29AAHCP5883A1Z7,,29141195654,,06-08-2025 21:30,0,0,0,,,,GOL Springdays Sports Unisex T-shirt - Light Blue - Size : 38,,,SDSTS003-38,,,,,,,,,cashfree,,FALSE,
335092461370333100-1,OD335092461370333100,FLIPKART 25,01-08-2025 22:58,RP/25-26/0150,04-08-2025 20:14,,FAABJ92600000007,02-08-2025 11:08,RBKPB001-1-3P,LSTKSSHDBMH9QYXDF6WF4CHTS,Reebok Prodigy Black School Shoes 3P - 1US,Black,1US,Reebok,FLIPKART 25,FALSE,FALSE,,64041990,2699,2243,2243,1,,0,1900.84,0,Range-5-18,171.08,0,171.08,0,0,9,0,9,0,0,0.00E+00,,,,0,0,0,0,1,`335092461370333100,FALSE,COMPLETE,0,INR,1,DISPATCHED,,E-Kart Logistics,,Channel,SPOR2610967,01-08-2025 23:02,SHIPPED,DEFAULT,1,1,1,,FMPP3229061870,02-08-2025 17:23,Bangalore,,SIZE_FIT_ISSUES,,01-08-2025 23:00,04-08-2025 20:14,,,,,,501,29AAHCP5883A1Z7,,29141195654,,05-08-2025 12:00,0,0,0,,,,Reebok Prodigy Black School Shoes 3P - 1US,,,RBKPB001-1-3P,,SHIPPED,STATUS_NOT_DEFINED,,,,,,,,TRUE,
434655-0,S2000065233,schools365,02-08-2025 07:04,,,,INS/25-26/11346,02-08-2025 11:14,RBKPB001-5,RBKPB001-5,Reebok Prodigy Black School Shoes - 5US,Black,5US,Reebok,schools365,FALSE,FALSE,,64041990,2699,2148,1999,1,,0,1694.08,0,Range-5-18,163.82,0,163.82,0,0,9,0,9,0,0,0.00E+00,,,,149,0,0,0,1,SC-S2000065233,FALSE,COMPLETE,0,INR,1,DISPATCHED,,Professional-SC,PROFESSIONAL_SC,Self,SPOR2610968,02-08-2025 07:12,DISPATCHED,DEFAULT,1,1,1,,HRD900041436,02-08-2025 17:19,Bangalore,,,,02-08-2025 07:10,02-08-2025 17:19,,,,,,501,29AAHCP5883A1Z7,,29141195654,,07-08-2025 07:10,0,0,0,,,,Reebok Prodigy Black School Shoes - 5US,,,RBKPB001-5,,,,,,,,,cashfree,,FALSE,
