Sale Order Item Code,Display Order Code,Store,Reverse Pickup Code,Reverse Pickup Created Date,Reverse Pickup Reason,Require Customization,COD,Shipping Address Id,Category,Invoice Code,Invoice Created,EWayBill No,EWayBill Date,EWayBill Valid Till,Billing Address City,Billing Address State,Billing Address Country,Billing Address Pincode,Billing Address Latitude,Billing Address Longitude,Shipping Method,Item SKU Code,Channel Product Id,Item Type Name,Item Type Color,Item Type Size,Item Type Brand,Channel Name,SKU Require Customization,Gift Wrap,Gift Message,HSN Code,MRP,Total Price,Selling Price,Cost Price,Prepaid Amount,Subtotal,Discount,GST Tax Type Code,CGST,IGST,SGST,UTGST,CESS,CGST Rate,IGST Rate,SGST Rate,UTGST Rate,CESS Rate,TCS Amount,Tax %,Tax Value,Voucher Code,Shipping Charges,Shipping Method Charges,COD Service Charges,Gift Wrap Charges,Packet Number,Order Date as dd/mm/yyyy hh:MM:ss,Sale Order Code,On Hold,Sale Order Status,Priority,Currency,Currency Conversion Rate,Sale Order Item Status,Cancellation Reason,Shipping provider,Shipping Courier,Shipping Arranged By,Shipping Package Code,Shipping Package Creation Date,Shipping Package Status Code,Shipping Package Type,Length(mm),Width(mm),Height(mm),Delivery Time,Tracking Number,Dispatch Date,Facility,Return Date,Return Reason,Return Remarks,Created,Updated,Combination Identifier,Combination Description,Transfer Price,Item Code,IMEI,Weight,GSTIN,Customer GSTIN,TIN,Payment Instrument,Fulfillment TAT,Adjustment In Selling Price,Adjustment In Discount,Store Credit,IRN,Acknowledgement Number,Bundle SKU Code Number,SKU Name,Batch Code,Vendor Batch Number,Seller SKU Code,Item Type EAN,Shipping Courier Status,Shipping Tracking Status,Item Seal Id,Parent Sale Order Code,Item Tag,Shipment Tag,Original Order ID,Payment Method,Store Code,Channel Shipping,Item Details
440663-0,S2000067023,Online,,,,FALSE,0,11419819,School Accessories,,,,,,Bangalore ,Karnataka,IN,560019,,,STD,KCSLS001-30,KCSLS001-30,GOL Sri Kumaran Sweaters CBSE - Sleeveless - Navy Blue - Size : 30,Navy Blue,30,GOL,schools365,FALSE,FALSE,,61102000,999,802.47,779,,0,,0,gst-5,,,,,,,,,,,,,,,23.47,0,0,0,1,01-02-2026 08:53,SC-S2000067023,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00134,17-02-2026 15:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 09:00,17-02-2026 15:10,,,,,,5,,,,,06-02-2026 09:00,,,,,,,GOL Sri Kumaran Sweaters CBSE - Sleeveless - Navy Blue - Size : 30,,,KCSLS001-30,,,,,,,,,cashfree,,FALSE,
440665-0,S2000067023,Online,,,,FALSE,0,11419819,School Accessories,,,,,,Bangalore ,Karnataka,IN,560019,,,STD,KCSFS001-30,KCSFS001-30,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,Navy Blue,30,GOL,schools365,FALSE,FALSE,,61102000,999,895.18,869,,0,,0,gst-5,,,,,,,,,,,,,,,26.18,0,0,0,1,01-02-2026 08:53,SC-S2000067023,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00134,17-02-2026 15:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 09:00,17-02-2026 15:10,,,,,,5,,,,,06-02-2026 09:00,,,,,,,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,,,KCSFS001-30,,,,,,,,,cashfree,,FALSE,
440667-0,S2000067024,Online,,,,FALSE,0,11419837,School Accessories,,,,,,Bangalore,Karnataka,IN,560061,,,STD,SSGOL006-10,SSGOL006-10,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : XXL",White,XXL,GOL,schools365,FALSE,FALSE,,61159500,149,298,149,205,0,,0,gst-5,,,,,,,,,,,,,,,149,0,0,0,1,01-02-2026 09:10,SC-S2000067024,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00064,11-02-2026 17:10,CREATED,DEFAULT,1,1,1,,,,Bangalore new,,,,01-02-2026 09:20,11-02-2026 17:10,,,,,,1,,,,,06-02-2026 09:20,,,,,,,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : XXL",,,SSGOL006-10,,,,,,,,,cashfree,,FALSE,
440671-0,S2000067026,Online,,,,FALSE,0,11419877,School Accessories,,,,,,BANGALORE,Karnataka,IN,560062,,,STD,KCSFS001-30,KCSFS001-30,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,Navy Blue,30,GOL,schools365,FALSE,FALSE,,61102000,999,1018,869,,0,,0,gst-5,,,,,,,,,,,,,,,149,0,0,0,1,01-02-2026 10:18,SC-S2000067026,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00048,11-02-2026 16:00,CREATED,DEFAULT,1,1,1,,,,Bangalore new,,,,01-02-2026 10:20,11-02-2026 16:00,,,,,,1,,,,,06-02-2026 10:20,,,,,,,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 30,,,KCSFS001-30,,,,,,,,,cashfree,,FALSE,
440673-0,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,KCSFS002-36,KCSFS002-36,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 36,Navy Blue,36,GOL,schools365,FALSE,FALSE,,61102000,999,980.5,899,,0,,0,gst-5,,,,,,,,,,,,,,,81.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,GOL Sri Kumaran Sweaters CBSE - Full Sleeve - Navy Blue - Size : 36,,,KCSFS002-36,,,,,,,,,cashfree,,FALSE,
440675-0,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,SSGOL004-6,SSGOL004-6,GOL Blue Melange Semi Crew Socks - Size - XXXL,Blue,XXXL,GOL,schools365,FALSE,FALSE,,61159500,149,162.5,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,13.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXXL,,,SSGOL004-6,,,,,,,,,cashfree,,FALSE,
440675-1,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,SSGOL004-6,SSGOL004-6,GOL Blue Melange Semi Crew Socks - Size - XXXL,Blue,XXXL,GOL,schools365,FALSE,FALSE,,61159500,149,162.5,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,13.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXXL,,,SSGOL004-6,,,,,,,,,cashfree,,FALSE,
440677-0,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,SSGOL004-4,SSGOL004-4,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - XL,Blue,XL,GOL,schools365,FALSE,FALSE,,61159500,149,162.5,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,13.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - XL,,,SSGOL004-4,,,,,,,,,cashfree,,FALSE,
440677-1,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,SSGOL004-4,SSGOL004-4,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - XL,Blue,XL,GOL,schools365,FALSE,FALSE,,61159500,149,162.5,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,13.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - XL,,,SSGOL004-4,,,,,,,,,cashfree,,FALSE,
440679-0,S2000067027,Online,,,,FALSE,0,11419896,School Accessories,,,,,,Bangalore,Karnataka,IN,560078,,,STD,SSGOL006-9,SSGOL006-9,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : XL",White,XL,GOL,schools365,FALSE,FALSE,,61159500,149,162.5,149,205,0,,0,gst-5,,,,,,,,,,,,,,,13.5,0,0,0,1,01-02-2026 10:32,SC-S2000067027,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00065,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 10:40,11-02-2026 17:10,,,,,,6,,,,,06-02-2026 10:40,,,,,,,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : XL",,,SSGOL006-9,,,,,,,,,cashfree,,FALSE,
440681-0,S2000067028,Online,,,,FALSE,0,11419942,School Accessories,,,,,,Bengaluru,Karnataka,IN,560076,,,STD,SSGOL004-5,SSGOL004-5,GOL Blue Melange Semi Crew Socks - Size - XXL,Blue,XXL,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 11:33,SC-S2000067028,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00066,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 11:40,11-02-2026 17:10,,,,,,4,,,,,06-02-2026 11:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXL,,,SSGOL004-5,,,,,,,,,cashfree,,FALSE,
440681-1,S2000067028,Online,,,,FALSE,0,11419942,School Accessories,,,,,,Bengaluru,Karnataka,IN,560076,,,STD,SSGOL004-5,SSGOL004-5,GOL Blue Melange Semi Crew Socks - Size - XXL,Blue,XXL,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 11:33,SC-S2000067028,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00066,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 11:40,11-02-2026 17:10,,,,,,4,,,,,06-02-2026 11:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXL,,,SSGOL004-5,,,,,,,,,cashfree,,FALSE,
440683-0,S2000067028,Online,,,,FALSE,0,11419942,School Accessories,,,,,,Bengaluru,Karnataka,IN,560076,,,STD,SSGOL004-7,SSGOL004-7,GOL Blue Melange Semi Crew Socks - Size - XXXXL,BLUE,XXXXL,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 11:33,SC-S2000067028,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00066,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 11:40,11-02-2026 17:10,,,,,,4,,,,,06-02-2026 11:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXXXL,,,SSGOL004-7,,,,,,,,,cashfree,,FALSE,
440683-1,S2000067028,Online,,,,FALSE,0,11419942,School Accessories,,,,,,Bengaluru,Karnataka,IN,560076,,,STD,SSGOL004-7,SSGOL004-7,GOL Blue Melange Semi Crew Socks - Size - XXXXL,BLUE,XXXXL,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 11:33,SC-S2000067028,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00066,11-02-2026 17:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 11:40,11-02-2026 17:10,,,,,,4,,,,,06-02-2026 11:40,,,,,,,GOL Blue Melange Semi Crew Socks - Size - XXXXL,,,SSGOL004-7,,,,,,,,,cashfree,,FALSE,
440685-0,S2000067029,Online,,,,FALSE,0,11419968,School Accessories,,,,,,"uttarahalli, bangalore",Karnataka,IN,560061,,,STD,SSGOL004-3,SSGOL004-3,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,Blue,L,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 12:06,SC-S2000067029,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00021,11-02-2026 14:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:10,11-02-2026 14:10,,,,,,4,,,,,06-02-2026 12:10,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,,,SSGOL004-3,,,,,,,,,cashfree,,FALSE,
440685-1,S2000067029,Online,,,,FALSE,0,11419968,School Accessories,,,,,,"uttarahalli, bangalore",Karnataka,IN,560061,,,STD,SSGOL004-3,SSGOL004-3,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,Blue,L,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 12:06,SC-S2000067029,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00021,11-02-2026 14:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:10,11-02-2026 14:10,,,,,,4,,,,,06-02-2026 12:10,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,,,SSGOL004-3,,,,,,,,,cashfree,,FALSE,
440687-0,S2000067029,Online,,,,FALSE,0,11419968,School Accessories,,,,,,"uttarahalli, bangalore",Karnataka,IN,560061,,,STD,SSGOL006-8,SSGOL006-8,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : L",White,L,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,205,0,,0,gst-5,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 12:06,SC-S2000067029,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00021,11-02-2026 14:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:10,11-02-2026 14:10,,,,,,4,,,,,06-02-2026 12:10,,,,,,,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : L",,,SSGOL006-8,,,,,,,,,cashfree,,FALSE,
440687-1,S2000067029,Online,,,,FALSE,0,11419968,School Accessories,,,,,,"uttarahalli, bangalore",Karnataka,IN,560061,,,STD,SSGOL006-8,SSGOL006-8,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : L",White,L,GOL,schools365,FALSE,FALSE,,61159500,149,186.25,149,205,0,,0,gst-5,,,,,,,,,,,,,,,37.25,0,0,0,1,01-02-2026 12:06,SC-S2000067029,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00021,11-02-2026 14:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:10,11-02-2026 14:10,,,,,,4,,,,,06-02-2026 12:10,,,,,,,"GOL White Semi Crew With Red, Blue & Green Stripes Socks (Pack of 1) - Size : L",,,SSGOL006-8,,,,,,,,,cashfree,,FALSE,
440689-0,S2000067030,Online,,,,FALSE,0,11419979,School Accessories,,,,,,Bangalore ,Karnataka,IN,560076,,,STD,SSGOL004-3,SSGOL004-3,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,Blue,L,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 12:10,SC-S2000067030,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00151,17-02-2026 19:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:21,17-02-2026 19:10,,,,,,7,,,,,06-02-2026 12:21,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,,,SSGOL004-3,,,,,,,,,cashfree,,FALSE,
440689-1,S2000067030,Online,,,,FALSE,0,11419979,School Accessories,,,,,,Bangalore ,Karnataka,IN,560076,,,STD,SSGOL004-3,SSGOL004-3,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,Blue,L,GOL,schools365,FALSE,FALSE,,61159500,149,154.37,149,43,0,,0,gst-5-gears,,,,,,,,,,,,,,,5.37,0,0,0,1,01-02-2026 12:10,SC-S2000067030,FALSE,PROCESSING,0,INR,1,FULFILLABLE,,,,Self,PULS00151,17-02-2026 19:10,CREATED,DEFAULT,0,0,0,,,,Bangalore new,,,,01-02-2026 12:21,17-02-2026 19:10,,,,,,7,,,,,06-02-2026 12:21,,,,,,,GOL Blue Melange Semi Crew Socks - CBSE (Pack of 1) - Size - L,,,SSGOL004-3,,,,,,,,,cashfree,,FALSE,
